have	1315648 -> had,has,'ve,having,'s,'d,d,ve
★wilkes	80 -> wilkess
★achiever	79 -> achievers
★aforesay	79 -> aforesaid
★aggro	79 -> aggros
★amelioration	79 -> ameliorations
★aphorism	79 -> aphorisms
authenticate	79 -> authenticated,authenticating,authenticates
★azores	79 -> azoress
baa	79 -> baas,baaing,baaed
★basel	79 -> basels
★begging	79 -> beggings
★belize	79 -> belizes
★bergman	79 -> bergmen
★bicep	79 -> biceps
★biomorph	79 -> biomorphs
★bloomfield	79 -> bloomfields
★byre	79 -> byres
★camus	79 -> camuss
chastise	79 -> chastised,chastising,chastises
chatty	79 -> chattier,chattiest
★cohn	79 -> cohns
★companionway	79 -> companionways
★connexion	79 -> connexions
★consignee	79 -> consignees
★constancy	79 -> constancies
★convertibility	79 -> convertibilities
★cortina	79 -> cortinas
★cress	79 -> cresses
debug	79 -> debugging,debugged,debugs
★deodorant	79 -> deodorants
★detoxification	79 -> detoxifications
diddle	79 -> diddled,diddling,diddles
digress	79 -> digressing,digressed,digresses
dint	79 -> dinted,dints,dinting
★disrepair	79 -> disrepairs
★dworkin	79 -> dworkins
★editorship	79 -> editorships
★faa	79 -> faas
fantasise	79 -> fantasising,fantasised,fantasises
★fracas	79 -> fracass
★gasket	79 -> gaskets
★ghent	79 -> ghents
glut	79 -> glutted,gluts,glutting
★goodall	79 -> goodalls
★guillemot	79 -> guillemots
★gurney	79 -> gurneys
★heaviness	79 -> heavinesses
★hlca	79 -> hlcas
★holiday-maker	79 -> holiday-makers
★hooke	79 -> hookes
hyphen	79 -> hyphens,hyphened
★ineffectiveness	79 -> ineffectivenesses
★insulator	79 -> insulators
★ionian	79 -> ionians
★javelin	79 -> javelins
leaky	79 -> leakiest,leakier
★left-back	79 -> left-backs
★leprechaun	79 -> leprechauns
★letterbox	79 -> letterboxes
lope	79 -> loped,loping,lopes
★luxemburg	79 -> luxemburgs
★mettle	79 -> mettles
★moveable	79 -> moveables
★nightgown	79 -> nightgowns
★non-academic	79 -> non-academics
★obsessional	79 -> obsessionals
★orifice	79 -> orifices
outpace	79 -> outpaced,outpacing,outpaces
★privation	79 -> privations
★procurator	79 -> procurators
★pumice	79 -> pumices
★punjabi	79 -> punjabis
★quickening	79 -> quickenings
★rasbora	79 -> rasboras
★receivable	79 -> receivables
★responder	79 -> responders
★ronny	79 -> ronnies
★rve	79 -> riven
scaffold	79 -> scaffolding,scaffolded,scaffolds
★setter	79 -> setters
shamble	79 -> shambling,shambled,shambles
★skua	79 -> skuas
slurp	79 -> slurped,slurping,slurps
★spasticity	79 -> spasticities
sprightly	79 -> sprightlier,sprightliest
★sprite	79 -> sprites
★stalingrad	79 -> stalingrads
stich	79 -> stiched,stiches
★tabby	79 -> tabbies
★tatar	79 -> tatars
★thrombolysis	79 -> thrombolyses
★titre	79 -> titres
★tormentor	79 -> tormentors
★transcendence	79 -> transcendences
trumpete	79 -> trumpeted,trumpeting,trumpeter
★turd	79 -> turds
★turn-out	79 -> turn-outs
★up-and-coming	79 -> up-and-comings
★webbing	79 -> webbings
★xenophobia	79 -> xenophobias
★adverbial	78 -> adverbials
★alum	78 -> alums
★anti-inflammatory	78 -> anti-inflammatories
★bipolar	78 -> bipolars
★bistable	78 -> bistables
bivalve	78 -> bivalves,bivalved
cassowary	78 -> cassowaries,cassowarys
★causative	78 -> causatives
★clasper	78 -> claspers
★cocteau	78 -> cocteaux
connive	78 -> connived,conniving,connives
connote	78 -> connotes,connoted,connoting
dehydrate	78 -> dehydrated,dehydrating,dehydrates
deputise	78 -> deputising,deputised,deputises
deregulate	78 -> deregulated,deregulating
★diggory	78 -> diggorys
★dimorphism	78 -> dimorphisms
★disconnection	78 -> disconnections
★discoverer	78 -> discoverers
★doubter	78 -> doubters
★dungaree	78 -> dungarees
★edmonton	78 -> edmontons
★emolument	78 -> emoluments
★encoding	78 -> encodings
★enhancer	78 -> enhancers
★epitope	78 -> epitopes
equalize	78 -> equalized,equalizing,equalizes
★exchange-rate	78 -> exchange-rates
★eyeshadow	78 -> eyeshadows
★flashlight	78 -> flashlights
★flatmate	78 -> flatmates
★galleon	78 -> galleons
gory	78 -> gorier,goriest
★hang-up	78 -> hang-ups
harangue	78 -> haranguing,harangued,harangues
hast	78 -> hasted,hasting
★headlamp	78 -> headlamps
★henchman	78 -> henchmen
★herbarium	78 -> herbariums
hoy	78 -> hoyed,hoys
★hunslet	78 -> hunslets
★husayn	78 -> husayns
hypothesise	78 -> hypothesised,hypothesising,hypothesises
impound	78 -> impounded,impounding,impounds
★incongruity	78 -> incongruities
★ingham	78 -> inghams
★inheritor	78 -> inheritors
★jester	78 -> jesters
★jukebox	78 -> jukeboxes
★kirgizstan	78 -> kirgizstans
★lahore	78 -> lahores
lam	78 -> lammed,lamming,lams
★lambda	78 -> lambdas
★lateness	78 -> latenesses
laze	78 -> lazing,lazed,lazes
★lithium	78 -> lithiums
★logger	78 -> loggers
★loopy	78 -> loopier
★lovey	78 -> loveys
★luminary	78 -> luminaries
★lysis	78 -> lyses
★mellon	78 -> mellons
★monrovia	78 -> monrovias
★motorcyclist	78 -> motorcyclists
★mphil	78 -> mphils
★muesli	78 -> mueslis
★multiprocessing	78 -> multiprocessings
★oilseed	78 -> oilseeds
★paging	78 -> pagings
★placental	78 -> placentals
plummet	78 -> plummets,plummetted,plummeting,plummeted
★pollination	78 -> pollinations
★porta	78 -> portas
★prokofiev	78 -> prokofievs
proscribe	78 -> proscribed,proscribing,proscribes
★pyrenean	78 -> pyreneans
★quin	78 -> quins
★quinta	78 -> quintas
★recombination	78 -> recombinations
★redshank	78 -> redshanks
★reinterpretation	78 -> reinterpretations
★repeater	78 -> repeaters
revitalize	78 -> revitalizing,revitalized,revitalizes
scat	78 -> scats,scatting,scatted
scrawny	78 -> scrawnier,scrawniest
sequin	78 -> sequins,sequinned
★shearman	78 -> shearmen
★sherd	78 -> sherds
sneaky	78 -> sneakier,sneakiest
★spittle	78 -> spittles
★stand-by	78 -> stand-bys
★stand-in	78 -> stand-ins
★stardust	78 -> stardusts
★submersible	78 -> submersibles
★surveying	78 -> surveyings
★tableware	78 -> tablewares
★theoretician	78 -> theoreticians
★thrall	78 -> thralls
thumbnail	78 -> thumbnails,thumbnailing
★titbit	78 -> titbits
★titration	78 -> titrations
★twain	78 -> twains
★veneration	78 -> venerations
★virginal	78 -> virginals
voodoo	78 -> voodoos,voodooing,voodooed
★washbasin	78 -> washbasins
★willpower	78 -> willpowers
★yin	78 -> yins
★yugoslavian	78 -> yugoslavians
★zion	78 -> zions
★acc	77 -> accs
★acetylcholine	77 -> acetylcholines
★acrimony	77 -> acrimonies
★acrobat	77 -> acrobats
★aeronautics	77 -> aeronauticss
★amethyst	77 -> amethysts
★anaemic	77 -> anaemics
★anastomosis	77 -> anastomoses
★avignon	77 -> avignons
★baku	77 -> bakus
★belorussia	77 -> belorussias
★boating	77 -> boatings
★boatyard	77 -> boatyards
★bowyer	77 -> bowyers
bulldoze	77 -> bulldozed,bulldozing,bulldozes
★bursar	77 -> bursars
★buy-in	77 -> buy-ins
★capitulation	77 -> capitulations
★cbc	77 -> cbcs
★chagall	77 -> chagalls
★check-out	77 -> check-outs
★condescension	77 -> condescensions
★consumable	77 -> consumables
★convalescence	77 -> convalescences
★copulation	77 -> copulations
★coulter	77 -> coulters
★cymru	77 -> cymrus
★daggerboard	77 -> daggerboards
★diehard	77 -> diehards
★digression	77 -> digressions
★dispensary	77 -> dispensaries
★drainpipe	77 -> drainpipes
★ergonomics	77 -> ergonomicss
★factsheet	77 -> factsheets
★flowerbed	77 -> flowerbeds
★galicia	77 -> galicias
★gatherer	77 -> gatherers
★germination	77 -> germinations
★gideon	77 -> gideons
★grand-daughter	77 -> grand-daughters
★grasping	77 -> graspings
★guilder	77 -> guilders
★half-light	77 -> half-lights
★highbrow	77 -> highbrows
★hobbyist	77 -> hobbyists
★homophobia	77 -> homophobias
★huntington	77 -> huntingtons
★infinitesimal	77 -> infinitesimals
★internationale	77 -> internationales
★isomer	77 -> isomers
★jubilation	77 -> jubilations
★knocking	77 -> knockings
★laker	77 -> lakers
★lamprey	77 -> lampreys
★lay-by	77 -> lay-bys
★lay-out	77 -> lay-outs
★lhasa	77 -> lhasas
★lola	77 -> lolas
★marxist-leninist	77 -> marxist-leninists
★microbiology	77 -> microbiologies
★mollie	77 -> mollies
★monogamy	77 -> monogamies
★monomer	77 -> monomers
★nicolson	77 -> nicolsons
★oatmeal	77 -> oatmeals
★octagon	77 -> octagons
★olympian	77 -> olympians
★outfall	77 -> outfalls
★pandemonium	77 -> pandemoniums
★penitent	77 -> penitents
★peony	77 -> peonies
★phenylalanine	77 -> phenylalanines
★pliny	77 -> plinys
★pollinator	77 -> pollinators
★postnominal	77 -> postnominals
predetermine	77 -> predetermined,predetermining,predetermines
★pulling	77 -> pullings
★rasping	77 -> raspings
★reducing	77 -> reducings
remodel	77 -> remodelled,remodelling,remodels
★right-back	77 -> right-backs
★ringer	77 -> ringers
★scrapping	77 -> scrappings
seethe	77 -> seethed,seethes,seething
★semi-automatic	77 -> semi-automatics
★shooter	77 -> shooters
side-step	77 -> side-stepped,side-steps
★speeding	77 -> speedings
★steamship	77 -> steamships
★sunbeam	77 -> sunbeams
swag	77 -> swags,swagged,swagging
★tarot	77 -> tarots
theorise	77 -> theorising,theorised,theorises
★tiding	77 -> tidings
★timbre	77 -> timbres
★tnt	77 -> tnts
★toenail	77 -> toenails
★tully	77 -> tullies
★turkmenistan	77 -> turkmenistans
unrol	77 -> unrolled,unrolling
★vice-captain	77 -> vice-captains
★vicissitude	77 -> vicissitudes
★voe	77 -> voes
★voyager	77 -> voyagers
★wadi	77 -> wadis
★winnipeg	77 -> winnipegs
★yorkist	77 -> yorkists
★aileron	76 -> ailerons
★alternator	76 -> alternators
★ambulanceman	76 -> ambulancemen
★amine	76 -> amines
★azalea	76 -> azaleas
★azt	76 -> azts
★barring	76 -> barrings
★bedspread	76 -> bedspreads
★benghazi	76 -> benghazis
★bloch	76 -> bloches
★breakwater	76 -> breakwaters
★browsing	76 -> browsings
★brunette	76 -> brunettes
★buttercup	76 -> buttercups
★campanile	76 -> campaniles
★camper	76 -> campers
★charmer	76 -> charmers
★choking	76 -> chokings
cockle	76 -> cockles,cockling
★cut-throat	76 -> cut-throats
★dealership	76 -> dealerships
★detonator	76 -> detonators
★doctrinaire	76 -> doctrinaires
download	76 -> downloaded,downloading,downloads
★dysphagia	76 -> dysphagias
★easing	76 -> easings
★educationist	76 -> educationists
emporium	76 -> emporia,emporiums
★epilogue	76 -> epilogues
★evaluator	76 -> evaluators
extort	76 -> extorted,extorting,extorts
★faggot	76 -> faggots
★fascia	76 -> fascias
★fecundity	76 -> fecundities
★floodgate	76 -> floodgates
foment	76 -> fomenting,fomented,foments
★godsend	76 -> godsends
★gresham	76 -> greshams
groovy	76 -> grooviest,groovies
★guile	76 -> guiles
★hah	76 -> hahs
★halle	76 -> halles
★halogen	76 -> halogens
★heirloom	76 -> heirlooms
★hirer	76 -> hirers
lisp	76 -> lisped,lisps,lisping
★loathsome	76 -> loathsomest
★magenta	76 -> magentas
manhandle	76 -> manhandled,manhandling,manhandles
mew	76 -> mewing,mews,mewed
★microeconomic	76 -> microeconomics
mid-price	76 -> mid-priced,mid-prices
★moron	76 -> morons
★nashville	76 -> nashvilles
★non-european	76 -> non-europeans
★nondescript	76 -> nondescripts
★obstinacy	76 -> obstinacies
★orchestration	76 -> orchestrations
★overspill	76 -> overspills
★paceman	76 -> pacemen
★pelham	76 -> pelhams
★perversity	76 -> perversities
★pleasantry	76 -> pleasantries
★pointing	76 -> pointings
★portent	76 -> portents
prioritise	76 -> prioritising,prioritised,prioritises
★psalter	76 -> psalters
★rachmaninov	76 -> rachmaninovs
★ratner	76 -> ratnering
★rayleigh	76 -> rayleighs
recap	76 -> recapping,recapped,recaps
★reebok	76 -> reeboks
refrigerate	76 -> refrigerated,refrigerating,refrigerates
★reliquary	76 -> reliquaries
resound	76 -> resounded,resounding,resounds
★rodin	76 -> rodins
★salamander	76 -> salamanders
scrooge	76 -> scrooges,scrooged
★sinker	76 -> sinkers
slush	76 -> slushed,slushing,slushes
spook	76 -> spooked,spooks,spooking
★stakeholder	76 -> stakeholders
★sucralfate	76 -> sucralfates
sunscreen	76 -> sunscreens,sunscreening
★taxi-driver	76 -> taxi-drivers
teaspoonful	76 -> teaspoonfuls,teaspoonsful
★temporality	76 -> temporalities
★thunderbolt	76 -> thunderbolts
★thymus	76 -> thymuss
★tinnitus	76 -> tinnituss
★title-page	76 -> title-pages
★tortoiseshell	76 -> tortoiseshells
★tutor-organiser	76 -> tutor-organisers
★typhoon	76 -> typhoons
vaccinate	76 -> vaccinated,vaccinating,vaccinates
vagu	76 -> vaguest,vaguer
★watchword	76 -> watchwords
★weberian	76 -> weberians
★whatsit	76 -> whatsits
★aeration	75 -> aerations
★aggressiveness	75 -> aggressivenesses
★apollinaire	75 -> apollinaires
★aran	75 -> arans
★back-bencher	75 -> back-benchers
★backcloth	75 -> backcloths
★bedstead	75 -> bedsteads
beseech	75 -> beseeching,beseeched,besought,beseeches
★bratislava	75 -> bratislavas
★broomstick	75 -> broomsticks
★buccaneer	75 -> buccaneers
★businesswoman	75 -> businesswomen
★buzzer	75 -> buzzers
★cartier	75 -> cartiers
catchy	75 -> catchiest,catchier
cavort	75 -> cavorting,cavorted,cavorts
★chartist	75 -> chartists
★chemiluminescence	75 -> chemiluminescences
★chipboard	75 -> chipboards
★codification	75 -> codifications
★cranko	75 -> crankos
★cross-spar	75 -> cross-spars
★dapper	75 -> dappers
★dawning	75 -> dawnings
★deanery	75 -> deaneries
★def	75 -> defs
★departed	75 -> departeds
★despot	75 -> despots
disgorge	75 -> disgorged,disgorging,disgorges
doctore	75 -> doctoring,doctored
★dollop	75 -> dollops
★dominique	75 -> dominiques
dowdy	75 -> dowdier,dowdiest
★drunkard	75 -> drunkards
★esk	75 -> esks
★estrangement	75 -> estrangements
★evolutionist	75 -> evolutionists
extradit	75 -> extradited,extraditing
★falsity	75 -> falsities
fritter	75 -> frittered,fritters,frittering
★gannet	75 -> gannets
gesticulate	75 -> gesticulating,gesticulated,gesticulates
★goya	75 -> goyas
★hauxwell	75 -> hauxwells
★hemline	75 -> hemlines
hypnotise	75 -> hypnotised,hypnotises,hypnotising
★indexical	75 -> indexicals
★indivisible	75 -> indivisibles
★joffre	75 -> joffres
★keystone	75 -> keystones
legalise	75 -> legalised,legalising
★lignite	75 -> lignites
liven	75 -> livened,livening,livens
★luminescence	75 -> luminescences
★mantra	75 -> mantras
★maoist	75 -> maoists
masturbate	75 -> masturbating,masturbated,masturbates
★medoc	75 -> medocs
★men-at-arm	75 -> men-at-arms
★mezzanine	75 -> mezzanines
mush	75 -> mushed,mushes
★neatness	75 -> neatnesses
neuter	75 -> neutered,neutering,neuters
★newgate	75 -> newgates
★no-go	75 -> no-gos
★nsa	75 -> nsas
★ornithology	75 -> ornithologies
★panty	75 -> panties
★plasterwork	75 -> plasterworks
polyunsaturate	75 -> polyunsaturated,polyunsaturates
pontoon	75 -> pontoons,pontooning
★potash	75 -> potashes
★profligate	75 -> profligates
★prophylactic	75 -> prophylactics
★protractor	75 -> protractors
★qaddafi	75 -> qaddafis
★ramadan	75 -> ramadans
rankle	75 -> rankled,rankles,rankling
re-form	75 -> re-formed,re-forming,re-forms
readjust	75 -> readjusted,readjusting,readjusts
★reservist	75 -> reservists
★shivering	75 -> shiverings
★shrift	75 -> shrifts
★sit-in	75 -> sit-ins
★sixteen-year-old	75 -> sixteen-year-olds
sleazy	75 -> sleazier,sleaziest
★starry	75 -> starriest
★sub-division	75 -> sub-divisions
★suddenness	75 -> suddennesses
★suppressor	75 -> suppressors
syphon	75 -> syphoning,syphoned,syphons
★tea-time	75 -> tea-times
tenon	75 -> tenons,tenoned,tenoning
thresh	75 -> threshing,threshed,threshes
★tip-off	75 -> tip-offs
★togetherness	75 -> togethernesses
★topology	75 -> topologies
★troubadour	75 -> troubadours
★uranus	75 -> uranuss
★urbanisation	75 -> urbanisations
★valance	75 -> valances
★vhf	75 -> vhfs
waylay	75 -> waylaid,waylaying,waylays
★wristwatch	75 -> wristwatches
★afterlife	74 -> afterlives
★anvil	74 -> anvils
★apportionment	74 -> apportionments
★baba	74 -> babas
★bacchus	74 -> bacchuss
bobble	74 -> bobbles,bobbled,bobbling
★bruiser	74 -> bruisers
burp	74 -> burped,burping,burps
★bye-bye	74 -> bye-byes
★canaries	74 -> canariess
★cannibalism	74 -> cannibalisms
★carburettor	74 -> carburettors
★carpeting	74 -> carpetings
★cheapness	74 -> cheapnesses
★cleaver	74 -> cleavers
★conducting	74 -> conductings
★crotch	74 -> crotches
★cushioning	74 -> cushionings
decrement	74 -> decrements,decremented,decrementing
★die-hard	74 -> die-hards
dote	74 -> doted,dotes,doting
★downcast	74 -> downcasts
★echinoderm	74 -> echinoderms
★effusion	74 -> effusions
★elucidation	74 -> elucidations
★extermination	74 -> exterminations
factore	74 -> factoring,factored
★fantasia	74 -> fantasias
★fistful	74 -> fistfuls
glitzy	74 -> glitziest,glitzier
★golan	74 -> golans
★guardianship	74 -> guardianships
★hazelnut	74 -> hazelnuts
★head-dress	74 -> head-dresses
★headgear	74 -> headgears
★headset	74 -> headsets
★heart-throb	74 -> heart-throbs
★heaving	74 -> heavings
★hesitancy	74 -> hesitancies
★historiography	74 -> historiographies
★hodgkin	74 -> hodgkins
★horsepower	74 -> horsepowers
★ideologue	74 -> ideologues
★indexation	74 -> indexations
★indianapolis	74 -> indianapoliss
★infarct	74 -> infarcts
★intestate	74 -> intestates
★intransigent	74 -> intransigents
★jackdaw	74 -> jackdaws
★lancastrian	74 -> lancastrians
★larch	74 -> larches
★leeward	74 -> leewards
★linnet	74 -> linnets
★lolly	74 -> lollies
★masque	74 -> masques
★metallurgy	74 -> metallurgies
★midget	74 -> midgets
★militiaman	74 -> militiamen
★misapprehension	74 -> misapprehensions
★miscalculation	74 -> miscalculations
★monotype	74 -> monotypes
★nassau	74 -> nassaus
★oeuvre	74 -> oeuvres
★ogre	74 -> ogres
★ordinariness	74 -> ordinarinesses
overshoot	74 -> overshooting,overshoots,overshot
★pavarotti	74 -> pavarottis
★pfennig	74 -> pfennigs
★ploughing	74 -> ploughings
★pogo	74 -> pogoing
★probationer	74 -> probationers
★proctocolectomy	74 -> proctocolectomies
★pullman	74 -> pullmans
★reductionism	74 -> reductionisms
★refresher	74 -> refreshers
reinterprete	74 -> reinterpreted,reinterpreting
reprocess	74 -> reprocessed,reprocessing,reprocesses
★rote	74 -> rotes
★run-in	74 -> run-ins
★schooner	74 -> schooners
★snapper	74 -> snappers
★spadefoot	74 -> spadefoots
★stalking	74 -> stalkings
★stratagem	74 -> stratagems
★stubbornness	74 -> stubbornnesses
subpoena	74 -> subpoenas,subpoenaed,subpoenaing
★sucrose	74 -> sucroses
★suspenders	74 -> suspender
★tampa	74 -> tampas
tattooe	74 -> tattooed,tattooes
★tha	74 -> thas
★theorizing	74 -> theorizings
★tiffany	74 -> tiffanies
★tracing	74 -> tracings
transmute	74 -> transmuted,transmutes,transmuting
★updating	74 -> updatings
upholster	74 -> upholstered,upholstering,upholsters
★watkin	74 -> watkins
★work-out	74 -> work-outs
★yiddish	74 -> yiddishes
acclimatise	73 -> acclimatised,acclimatising
★afrikaner	73 -> afrikaners
★afro	73 -> afros
allure	73 -> allured,allures,alluring
★bari	73 -> baris
bawdy	73 -> bawdiest,bawdier
★beowulf	73 -> beowulfs
★betterment	73 -> betterments
★blackspot	73 -> blackspots
★bristow	73 -> bristows
★bust-up	73 -> bust-ups
★carcinoid	73 -> carcinoids
★casablanca	73 -> casablancas
★centrifugation	73 -> centrifugations
★centurion	73 -> centurions
★channing	73 -> channings
chit	73 -> chits,chitted,chitting
★chlorophyll	73 -> chlorophylls
choreograph	73 -> choreographed,choreographing,choreographs
★churchwarden	73 -> churchwardens
★cicada	73 -> cicadas
cluck	73 -> clucked,clucking,clucks
★cognate	73 -> cognates
★conformist	73 -> conformists
cremate	73 -> cremated,cremating,cremates
★cumbrian	73 -> cumbrians
★dali	73 -> dalis
★dalmatia	73 -> dalmatias
★dawes	73 -> dawess
delimit	73 -> delimited,delimiting,delimits
★demotion	73 -> demotions
★desk-top	73 -> desk-tops
★diphthong	73 -> diphthongs
dovetail	73 -> dovetailed,dovetails,dovetailing
dramatise	73 -> dramatised,dramatising,dramatises
★dulles	73 -> dulless
★dyeing	73 -> dyeings
★elijah	73 -> elijahs
★entrails	73 -> entrailss
★excision	73 -> excisions
★exorcism	73 -> exorcisms
fiddly	73 -> fiddlier,fiddliest
★flowerpot	73 -> flowerpots
★forwarding	73 -> forwardings
★gramme	73 -> grammes
★grenoble	73 -> grenobles
★gringo	73 -> gringos
★grunge	73 -> grunged
★gynaecology	73 -> gynaecologies
★hakim	73 -> hakims
★hamas	73 -> hamass
★hazlitt	73 -> hazlitts
★headdress	73 -> headdresses
★hilarity	73 -> hilarities
★hoffmann	73 -> hoffmanns
★hold-up	73 -> hold-ups
★humdrum	73 -> humdrums
★husbandman	73 -> husbandmen
★iia	73 -> iias
★imperium	73 -> imperiums
★incomprehension	73 -> incomprehensions
★jackal	73 -> jackals
★lagan	73 -> lagans
★laserjet	73 -> laserjets
★liege	73 -> lieges
★liquorice	73 -> liquorices
★machinist	73 -> machinists
★megawatt	73 -> megawatts
★melanesian	73 -> melanesians
★meringue	73 -> meringues
★mitchum	73 -> mitchums
★modicum	73 -> modicums
★monolith	73 -> monoliths
★monteverdi	73 -> monteverdis
mossy	73 -> mossies,mossier,mossiest
★motherland	73 -> motherlands
★multiprocess	73 -> multiprocessing
★musk	73 -> musks
★nit	73 -> nits
★occam	73 -> occams
★okapi	73 -> okapis
★oriel	73 -> oriels
★ornamentation	73 -> ornamentations
★peacemaker	73 -> peacemakers
phosphorylate	73 -> phosphorylated,phosphorylates,phosphorylating
★phraseology	73 -> phraseologies
★plaything	73 -> playthings
★plimsoll	73 -> plimsolls
★racquet	73 -> racquets
★re-enactment	73 -> re-enactments
★reactant	73 -> reactants
rephrase	73 -> rephrased,rephrasing,rephrases
retake	73 -> retaking,retakes,retook,retaken
★retrenchment	73 -> retrenchments
★sepia	73 -> sepias
★sheldrake	73 -> sheldrakes
★shrubbery	73 -> shrubberies
★sirius	73 -> siriuss
skimpy	73 -> skimpiest,skimpier
★smarty	73 -> smarties
snuffle	73 -> snuffling,snuffled,snuffles
★spoilt	73 -> spoilter
★squidgy	73 -> squidgier
★subjugation	73 -> subjugations
★subservience	73 -> subserviences
★syracuse	73 -> syracuses
★taekwondo	73 -> taekwondoes
★tangerine	73 -> tangerines
★temerity	73 -> temerities
★tripper	73 -> trippers
★viewfinder	73 -> viewfinders
★whelk	73 -> whelks
whoosh	73 -> whooshing,whooshed,whooshes
★wounding	73 -> woundings
★actin	72 -> actins
★aficionado	72 -> aficionados
★antidepressant	72 -> antidepressants
★bakewell	72 -> bakewells
balmy	72 -> balmiest,balmier
★banyan	72 -> banyans
★billete	72 -> billeted
★butane	72 -> butanes
★caspian	72 -> caspians
★cassell	72 -> cassells
★cavalcade	72 -> cavalcades
★chargee	72 -> chargees
★clime	72 -> climes
★corona	72 -> coronas
★crier	72 -> criers
crock	72 -> crocks,crocked
culvert	72 -> culverts,culverted
★deckchair	72 -> deckchairs
★deductible	72 -> deductibles
★defecation	72 -> defecations
★diarist	72 -> diarists
★dickhead	72 -> dickheads
★diff	72 -> diffs
★dimbleby	72 -> dimblebys
★discouragement	72 -> discouragements
dowel	72 -> dowels,dowelled
★edirne	72 -> edirnes
★endotoxin	72 -> endotoxins
enfold	72 -> enfolded,enfolding,enfolds
enmesh	72 -> enmeshed,enmeshing,enmeshes
★epidural	72 -> epidurals
★ermine	72 -> ermines
★expendable	72 -> expendables
★extraterrestrial	72 -> extraterrestrials
★falsificationist	72 -> falsificationists
★fidgete	72 -> fidgeting
flay	72 -> flayed,flaying,flays
★focusing	72 -> focusings
★foreskin	72 -> foreskins
★foundling	72 -> foundlings
★fourteen-year-old	72 -> fourteen-year-olds
★front-runner	72 -> front-runners
★gaffer	72 -> gaffers
★gosling	72 -> goslings
★hannover	72 -> hannovers
★hdl	72 -> hdls
headscarf	72 -> headscarves,headscarfed,headscarfs
★hemiplegic	72 -> hemiplegics
honeycomb	72 -> honeycombed,honeycombs,honeycombing
★hotplate	72 -> hotplates
★hyena	72 -> hyenas
immortalise	72 -> immortalised,immortalising,immortalises
★ineptitude	72 -> ineptitudes
★inhaler	72 -> inhalers
★innards	72 -> innardss
★instigator	72 -> instigators
★insufficiency	72 -> insufficiencies
★jewke	72 -> jewkes
★lingerie	72 -> lingeries
★mayoress	72 -> mayoresses
★metastase	72 -> metastases
★miscellany	72 -> miscellanies
★moaning	72 -> moanings
★mort	72 -> morts
★multi-millionaire	72 -> multi-millionaires
nate	72 -> nates,nating
★nib	72 -> nibs
★norseman	72 -> norsemen
★nudity	72 -> nudities
oap	72 -> oaps,oap's
★paintbrush	72 -> paintbrushes
★palaeontologist	72 -> palaeontologists
★phytoplankton	72 -> phytoplanktons
★playroom	72 -> playrooms
porcupine	72 -> porcupines,porcupined
★precambrian	72 -> precambrians
★psychotherapist	72 -> psychotherapists
ream	72 -> reams,reaming
★reductionist	72 -> reductionists
★retriever	72 -> retrievers
ricochet	72 -> ricocheted,ricochets,ricochetted,ricocheting
★roux	72 -> rouxs
★rushing	72 -> rushings
★schoolfriend	72 -> schoolfriends
★scouse	72 -> scouses
★self-sacrifice	72 -> self-sacrifices
★serjeant	72 -> serjeants
★shakespearean	72 -> shakespeareans
★sketchbook	72 -> sketchbooks
skulk	72 -> skulking,skulked,skulks
★smelter	72 -> smelters
spinnaker	72 -> spinnakers,spinnakered
sub-divide	72 -> sub-divided,sub-divides
★sump	72 -> sumps
tannoy	72 -> tannoys,tannoyed
★teat	72 -> teats
tinsel	72 -> tinselling,tinsels,tinselled
★tobacconist	72 -> tobacconists
★transferability	72 -> transferabilities
★trickery	72 -> trickeries
★tuareg	72 -> tuaregs
★tunnelling	72 -> tunnellings
★turnkey	72 -> turnkeys
★urokinase	72 -> urokinases
★waterwheel	72 -> waterwheels
★wetness	72 -> wetnesses
★woodworking	72 -> woodworkings
★yuppy	72 -> yuppies
zipper	72 -> zippers,zippered
★alarmist	71 -> alarmists
★appellation	71 -> appellations
★atb	71 -> atbs
★autistic	71 -> autistics
★avionics	71 -> avionicss
★bain	71 -> bains
★bitumen	71 -> bitumens
★bonhomie	71 -> bonhomies
bottome	71 -> bottomed,bottoming
brindle	71 -> brindles,brindled
buzz	71 -> buzzes,buzzing,buzzed
★catchphrase	71 -> catchphrases
★caveman	71 -> cavemen
★centaur	71 -> centaurs
★chairwoman	71 -> chairwomen
chortle	71 -> chortled,chortling,chortles
★co-pilot	71 -> co-pilots
colonize	71 -> colonized,colonizing,colonizes
★columba	71 -> columbas
★comradeship	71 -> comradeships
★contending	71 -> contendings
★continence	71 -> continences
★cornea	71 -> corneas
declaim	71 -> declaimed,declaiming,declaims
★democratisation	71 -> democratisations
★dielectric	71 -> dielectrics
★discotheque	71 -> discotheques
★disloyalty	71 -> disloyalties
★dockside	71 -> docksides
★dusseldorf	71 -> dusseldorfs
★dysentery	71 -> dysenteries
★eicosanoid	71 -> eicosanoids
★etonian	71 -> etonians
★eurocheque	71 -> eurocheques
★fda	71 -> fdas
★feedstock	71 -> feedstocks
★formica	71 -> formicas
★front-bench	71 -> front-benches
★gastropod	71 -> gastropods
★goa	71 -> goas
goon	71 -> goons,gooned
★grandmaster	71 -> grandmasters
★highwayman	71 -> highwaymen
★hitman	71 -> hitmen
★hol	71 -> hols
★homogenate	71 -> homogenates
★hothouse	71 -> hothouses
